
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 19 2025,AAPL251219C00225000,21.8,-0.3,21.6,21.95,102,0.2549,0.7288,0.0107,7524,225.00,AAPL251219P00225000,5.55,-0.2,5.5,5.6,212,0.2554,-0.2777,0.011,6447
Fri Dec 19 2025,AAPL251219C00230000,18.12,-0.48,18.2,18.35,503,0.2488,0.6731,0.012,12237,230.00,AAPL251219P00230000,7.05,-0.2,6.9,7,625,0.2486,-0.3353,0.0124,13051
Fri Dec 19 2025,AAPL251219C00235000,14.95,-0.425,15,15.2,364,0.242,0.6113,0.0131,15394,235.00,AAPL251219P00235000,8.9,-0.125,8.55,8.8,286,0.243,-0.3997,0.0136,3975
Fri Dec 19 2025,AAPL251219C00240000,12.1,-0.4,12.1,12.25,1698,0.2366,0.5444,0.0138,20786,240.00,AAPL251219P00240000,10.95,-0.2,10.75,10.9,437,0.2369,-0.4697,0.0145,4355
Fri Dec 19 2025,AAPL251219C00245000,9.5,-0.45,9.55,9.7,625,0.2316,0.4746,0.0142,7287,245.00,AAPL251219P00245000,13.45,-0.2,13.25,13.4,87,0.2318,-0.5436,0.015,709
Fri Dec 19 2025,AAPL251219C00250000,7.35,-0.45,7.4,7.5,1353,0.2272,0.4043,0.0141,36057,250.00,AAPL251219P00250000,16.9,0.35,16.1,16.3,925,0.2269,-0.619,0.0151,2995
