
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:17 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 21 2028,AAPL280121C00210000,62.76,1.185,61.55,63.3,1,0.2718,0.767,0.0032,3,210.00,AAPL280121P00210000,17.97,0,17.8,18.7,0,0.2711,-0.2586,0.0036,11
Fri Jan 21 2028,AAPL280121C00220000,56.15,-0.2,55.6,56.75,48,0.2653,0.7322,0.0035,283,220.00,AAPL280121P00220000,21.56,-0.09,21.25,21.95,2,0.2657,-0.2988,0.004,21
Fri Jan 21 2028,AAPL280121C00230000,50.63,0.055,49.4,51.05,21,0.2567,0.6954,0.0037,33,230.00,AAPL280121P00230000,25.25,-0.3,25.05,25.7,212,0.2606,-0.3423,0.0044,80
Fri Jan 21 2028,AAPL280121C00240000,45.5,0.45,44.7,45.8,33,0.2573,0.6569,0.004,26,240.00,AAPL280121P00240000,29.67,-0.03,29.1,30,55,0.257,-0.3893,0.0048,104
Fri Jan 21 2028,AAPL280121C00250000,39.75,-0.325,39.8,40.4,124,0.2518,0.6172,0.0042,64,250.00,AAPL280121P00250000,34.95,0.425,34.3,35,10,0.254,-0.4383,0.0052,12
Fri Jan 21 2028,AAPL280121C00260000,35.93,0.105,34.95,36.1,121,0.2488,0.5766,0.0044,106,260.00,AAPL280121P00260000,39.52,-0.18,38.3,40,1,0.2483,-0.4902,0.0055,11
