
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 16 2026,AAPL260116C00225000,23.71,-0.29,23.45,23.9,106,0.2513,0.7212,0.0097,25984,225.00,AAPL260116P00225000,6.5,-0.3,6.5,6.65,70,0.2521,-0.2884,0.0101,15078
Fri Jan 16 2026,AAPL260116C00230000,20.25,-0.3,20.05,20.45,386,0.2451,0.671,0.0107,24106,230.00,AAPL260116P00230000,8.15,-0.175,8,8.2,131,0.2457,-0.341,0.0112,16662
Fri Jan 16 2026,AAPL260116C00235000,17.1,-0.275,16.9,17.15,290,0.2394,0.616,0.0116,28393,235.00,AAPL260116P00235000,9.9,-0.25,9.8,9.95,119,0.2401,-0.3992,0.0122,6648
Fri Jan 16 2026,AAPL260116C00240000,13.99,-0.435,14,14.25,1972,0.2346,0.557,0.0122,30691,240.00,AAPL260116P00240000,12,-0.25,11.9,12.05,114,0.2352,-0.462,0.013,7715
Fri Jan 16 2026,AAPL260116C00245000,11.4,-0.45,11.4,11.65,407,0.2301,0.4954,0.0126,17063,245.00,AAPL260116P00245000,14.55,-0.175,14.35,14.5,129,0.2304,-0.5283,0.0135,1956
Fri Jan 16 2026,AAPL260116C00250000,9.25,-0.3,9.15,9.45,1505,0.2251,0.4328,0.0127,52247,250.00,AAPL260116P00250000,17.17,-0.33,17.1,17.75,12,0.2265,-0.5965,0.0138,3367
