
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 15 2027,AAPL270115C00210000,51.33,-0.245,51.2,51.45,44,0.2753,0.7663,0.0041,2503,210.00,AAPL270115P00210000,12.8,-0.275,12.8,13,152,0.2763,-0.25,0.0044,8700
Fri Jan 15 2027,AAPL270115C00220000,44.6,-0.325,44.55,45.15,64,0.268,0.7214,0.0046,7711,220.00,AAPL270115P00220000,15.95,-0.2,15.85,16.05,1628,0.2688,-0.2993,0.005,7750
Fri Jan 15 2027,AAPL270115C00230000,38.5,-0.275,38.4,38.65,101,0.2617,0.6724,0.005,9196,230.00,AAPL270115P00230000,19.45,-0.225,19.35,19.6,11,0.262,-0.3539,0.0056,2269
Fri Jan 15 2027,AAPL270115C00240000,32.85,-0.325,32.75,33.1,106,0.2555,0.62,0.0055,7813,240.00,AAPL270115P00240000,23.52,-0.305,23.5,23.75,4,0.2555,-0.4135,0.0062,4363
Fri Jan 15 2027,AAPL270115C00250000,27.68,-0.37,27.65,27.9,102,0.25,0.565,0.0058,11692,250.00,AAPL270115P00250000,28.3,-0.25,28.05,28.5,25,0.2492,-0.4777,0.0067,3003
Fri Jan 15 2027,AAPL270115C00260000,23.05,-0.45,23.1,23.35,50,0.245,0.5087,0.006,11756,260.00,AAPL270115P00260000,33.56,-0.365,33.25,34.15,4,0.2438,-0.5456,0.0072,1918
