
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 18 2026,AAPL261218C00210000,50.45,-0.175,50.1,50.6,16,0.2773,0.7668,0.0042,6135,210.00,AAPL261218P00210000,12.4,-0.225,12.4,12.55,176,0.2777,-0.2485,0.0045,2324
Fri Dec 18 2026,AAPL261218C00220000,43.85,-0.075,43.45,43.85,12,0.2696,0.7208,0.0047,3425,220.00,AAPL261218P00220000,15.5,-0.125,15.35,15.55,213,0.27,-0.2987,0.0051,8251
Fri Dec 18 2026,AAPL261218C00230000,37.41,-0.365,37.25,37.75,74,0.2621,0.6704,0.0052,5476,230.00,AAPL261218P00230000,18.97,-0.155,18.85,19.1,102,0.263,-0.3545,0.0057,2478
Fri Dec 18 2026,AAPL261218C00240000,32.55,0.45,31.6,32.1,28,0.256,0.6164,0.0056,6206,240.00,AAPL261218P00240000,23.15,-0.15,22.7,23.25,83,0.2563,-0.4157,0.0063,4746
Fri Dec 18 2026,AAPL261218C00250000,26.8,-0.2,26.6,26.85,94,0.25,0.5598,0.0059,10044,250.00,AAPL261218P00250000,27.77,-0.255,27.2,28,3,0.2495,-0.4815,0.0069,722
Fri Dec 18 2026,AAPL261218C00260000,22.16,-0.315,22.05,22.3,46,0.2449,0.5017,0.0061,2973,260.00,AAPL261218P00260000,33.49,-0.01,32.75,33.65,7,0.2442,-0.551,0.0073,1883
