
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:17 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 17 2027,AAPL271217C00225000,51.94,-0.535,51.85,52.95,215,0.2626,0.712,0.0037,2516,225.00,AAPL271217P00225000,23.45,0,22.7,24.35,0,0.2655,-0.321,0.0042,309
Fri Dec 17 2027,AAPL271217C00230000,49.15,-0.625,49.15,50,157,0.2613,0.6931,0.0038,2276,230.00,AAPL271217P00230000,24.95,-0.275,24.95,27.5,5,0.2632,-0.3437,0.0044,630
Fri Dec 17 2027,AAPL271217C00235000,47.2,0.225,45.85,47.75,22,0.2613,0.6736,0.0039,768,235.00,AAPL271217P00235000,27.17,-0.13,26,29.4,5,0.2606,-0.3665,0.0046,109
Fri Dec 17 2027,AAPL271217C00240000,44.3,-0.05,43.8,44.8,29,0.2563,0.6538,0.0041,994,240.00,AAPL271217P00240000,29.25,-0.225,27.35,32,26,0.2584,-0.3905,0.0048,405
Fri Dec 17 2027,AAPL271217C00245000,41.88,-0.02,41.2,42.3,113,0.256,0.6337,0.0042,760,245.00,AAPL271217P00245000,31.59,-0.16,31.5,31.9,4,0.2561,-0.4152,0.005,228
Fri Dec 17 2027,AAPL271217C00250000,39.42,-0.03,38.9,39.8,16,0.2533,0.6132,0.0043,6096,250.00,AAPL271217P00250000,34.08,-0.12,33.5,36.5,6,0.2537,-0.4406,0.0052,541
