
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 18 2026,AAPL260618C00225000,32.55,-0.25,32.4,32.75,9,0.2612,0.6961,0.0065,4052,225.00,AAPL260618P00225000,12.35,-0.225,12.25,12.45,289,0.2618,-0.3198,0.0069,1780
Thu Jun 18 2026,AAPL260618C00230000,29.13,-0.47,29.2,29.65,38,0.2572,0.6625,0.0069,13358,230.00,AAPL260618P00230000,14.3,-0.025,13.95,14.15,26,0.2573,-0.356,0.0074,4326
Thu Jun 18 2026,AAPL260618C00235000,26.4,-0.2,26.2,26.45,195,0.253,0.6273,0.0072,6401,235.00,AAPL260618P00235000,16.1,-0.15,15.9,16.1,15,0.2535,-0.3945,0.0078,2386
Thu Jun 18 2026,AAPL260618C00240000,23.55,-0.2,23.3,23.7,99,0.2493,0.5906,0.0076,6842,240.00,AAPL260618P00240000,18.13,-0.22,18,18.2,329,0.2492,-0.4349,0.0083,1013
Thu Jun 18 2026,AAPL260618C00245000,20.95,-0.175,20.7,20.9,395,0.2456,0.5527,0.0078,2817,245.00,AAPL260618P00245000,20.45,-0.25,20.1,20.55,20,0.2456,-0.4771,0.0086,706
Thu Jun 18 2026,AAPL260618C00250000,18.22,-0.455,18.25,18.55,443,0.2422,0.5141,0.008,19918,250.00,AAPL260618P00250000,22.95,-0.275,22.85,23.1,2,0.242,-0.5208,0.0089,1901
