
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 17 2026,AAPL260417C00225000,29.2,-0.275,28.85,29.35,7,0.257,0.7014,0.0074,598,225.00,AAPL260417P00225000,10.12,-0.305,10.1,10.25,5,0.2576,-0.3123,0.0078,120
Fri Apr 17 2026,AAPL260417C00230000,26.5,0.275,25.75,26.15,14,0.2523,0.663,0.008,288,230.00,AAPL260417P00230000,12.15,0.075,11.8,11.95,4,0.2533,-0.3534,0.0085,382
Fri Apr 17 2026,AAPL260417C00235000,23.12,-0.03,22.65,23.05,248,0.2476,0.6223,0.0084,224,235.00,AAPL260417P00235000,13.7,-0.275,13.65,13.85,12,0.2489,-0.3973,0.009,185
Fri Apr 17 2026,AAPL260417C00240000,19.86,-0.44,19.9,20.25,257,0.2442,0.5796,0.0088,750,240.00,AAPL260417P00240000,15.88,-0.22,15.7,15.95,1,0.2443,-0.4439,0.0095,110
Fri Apr 17 2026,AAPL260417C00245000,17.85,0.175,17.25,17.5,5,0.2401,0.5354,0.0091,201,245.00,AAPL260417P00245000,18.15,-0.35,18.05,18.5,25,0.2404,-0.4926,0.01,34
Fri Apr 17 2026,AAPL260417C00250000,14.65,-0.625,14.85,15.05,20,0.2366,0.4904,0.0092,445,250.00,AAPL260417P00250000,20.7,-0.425,20.7,21.1,6,0.2366,-0.5429,0.0103,40
