
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:16 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 15 2026,AAPL260515C00210000,42.3,0.45,41.3,41.85,49,0.2766,0.79,0.0054,1169,210.00,AAPL260515P00210000,7.64,0,7.3,7.4,0,0.2776,-0.2188,0.0056,1799
Fri May 15 2026,AAPL260515C00220000,34.15,-0.425,34.05,34.5,9,0.2664,0.7302,0.0064,869,220.00,AAPL260515P00220000,10.05,-0.025,9.8,10.1,2,0.2677,-0.2816,0.0068,399
Fri May 15 2026,AAPL260515C00230000,27.75,-0.225,27.4,28,16,0.2574,0.661,0.0074,718,230.00,AAPL260515P00230000,13.37,0,13,13.2,0,0.2586,-0.3555,0.0078,1056
Fri May 15 2026,AAPL260515C00240000,21.75,-0.35,21.7,22.05,42,0.2502,0.584,0.0081,1538,240.00,AAPL260515P00240000,17.25,-0.1,16.95,17.2,9,0.2496,-0.4392,0.0088,296
Fri May 15 2026,AAPL260515C00250000,16.5,-0.525,16.65,16.8,86,0.2427,0.502,0.0085,1119,250.00,AAPL260515P00250000,22.05,-0.25,21.85,22.4,15,0.2418,-0.5304,0.0095,80
Fri May 15 2026,AAPL260515C00260000,12.7,-0.125,12.4,12.6,46,0.2365,0.4192,0.0085,1416,260.00,AAPL260515P00260000,28.06,0,26.95,29.15,0,0.2354,-0.6256,0.0098,41
