
Apple Inc.,Last: 239.7001,Change:  0.84
Date: 18 сентября 2025 г. в 02:17 GMT-4,Bid: 0,Ask: 0,Size: 0*0,Volume: 46 508 017
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 17 2027,AAPL270617C00210000,56.25,-0.1,55.9,56.4,18,0.2733,0.764,0.0036,4140,210.00,AAPL270617P00210000,15.45,-0.15,15.1,15.65,5,0.275,-0.2561,0.004,883
Thu Jun 17 2027,AAPL270617C00220000,49.8,-0.175,49.6,50.1,45,0.2674,0.7242,0.004,2663,220.00,AAPL270617P00220000,18.69,-0.135,18.4,18.85,1,0.2688,-0.301,0.0045,1057
Thu Jun 17 2027,AAPL270617C00230000,43.85,-0.175,43.75,44.05,21,0.2624,0.6814,0.0044,2973,230.00,AAPL270617P00230000,22.05,0,22.25,22.55,0,0.2632,-0.3496,0.0049,791
Thu Jun 17 2027,AAPL270617C00240000,38.61,0.06,38.3,38.55,88,0.2572,0.6363,0.0047,1103,240.00,AAPL270617P00240000,26.6,-0.125,26.35,26.75,7,0.2575,-0.4018,0.0054,282
Thu Jun 17 2027,AAPL270617C00250000,33.5,-0.075,33.25,33.7,31,0.2522,0.5896,0.0049,2047,250.00,AAPL270617P00250000,31.2,-0.225,31.05,31.5,3,0.2522,-0.458,0.0058,202
Thu Jun 17 2027,AAPL270617C00260000,28.97,-0.03,28.7,29.1,41,0.248,0.5417,0.0051,1628,260.00,AAPL270617P00260000,36.59,-0.16,36.35,36.85,2,0.2476,-0.5171,0.0063,352
